 18	 73	234	 15	158	230	133	100	242	  0	
150	158	186	178	248	  3	132	138	 24	 15	
152	 77	231	 57	178	105	 93	 86	238	 96	
246	  0	170	225	 16	 72	199	149	172	185	
150	 66	 87	 80	245	 79	 84	121	218	108	
137	114	185	112	171	108	217	  8	194	199	
104	185	200	 18	154	216	 90	 97	109	  7	
 27	  3	 73	114	 84	 62	194	168	184	156	
 20	 65	 14	206	177	185	 58	139	193	252	
 82	 41	181	 26	 60	 79	242	150	177	 96	
157	204	 99	231	 62	183	 37	  0	 95	221	
156	116	 30	170	 66	208	 99	124	 91	 36	
120	173	 78	 46	200	138	125	186	 32	 46	
 26	190	250	126	165	 57	 53	202	 57	149	
168	214	  9	198	128	 75	150	228	199	241	
  8	 63	159	 86	109	103	224	235	 33	  1	
 25	 60	191	 20	186	100	 77	239	 46	134	
132	214	 92	141	157	221	216	 51	193	159	
 37	201	223	196	 32	 76	 43	  0	 55	 76	
  1	 81	136	192	101	 66	 36	178	 50	 83	
 56	182	 41	149	 68	198	114	 28	250	 51	
188	 31	252	155	227	 28	231	 14	 29	 31	
 90	 30	112	227	223	213	 37	  3	135	 87	
 86	191	 14	128	 84	 82	 70	198	110	 64	
249	 42	 95	246	197	 66	 18	173	 80	 47	
204	171	 78	 60	142	 45	 17	179	 48	152	
 11	135	 87	 25	  7	172	107	 77	114	217	
142	108	  4	237	 98	201	 48	116	118	128	
164	 66	 43	242	126	185	 31	143	109	 79	
 39	120	214	127	145	221	 43	252	 43	157	
213	185	  9	217	166	107	163	214	224	 25	
 87	132	 92	130	118	218	 60	149	106	169	
228	145	 33	187	 16	178	152	 59	174	195	
217	131	124	226	 93	 35	 78	  0	249	 46	
 25	 80	178	117	211	 40	 80	 15	189	186	
184	161	 75	217	 92	 92	139	245	151	 57	
184	112	188	 53	 83	 25	 88	161	 25	 81	
207	 51	162	129	168	117	169	248	132	102	
178	 60	  7	254	 21	100	 90	160	 89	241	
217	 17	 98	149	 70	181	175	158	 86	200	
240	 37	251	146	166	164	  7	 79	156	139	
181	 79	199	188	 77	220	 32	167	124	121	
152	 85	139	250	234	209	175	153	112	  5	
 98	 96	 42	 93	242	208	  1	249	 31	158	
132	212	237	 75	145	 58	 39	177	225	163	
 43	121	248	182	116	226	135	 35	124	247	
 41	222	 87	 83	 59	 73	 36	 61	 66	 67	
219	198	 24	200	 17	169	  2	 56	 90	227	
219	133	 92	211	 59	208	182	195	244	 50	
186	 29	 16	 18	112	 75	 91	148	136	158	
216	 99	100	240	 43	118	153	 45	174	243	
 16	138	121	109	 93	180	 61	 19	119	 49	
 69	 50	 78	 85	 68	191	161	159	 83	 41	
 61	 43	141	162	 27	184	 24	180	230	198	
168	246	 80	 33	 99	174	213	161	193	 77	
210	  7	127	 33	 92	195	224	253	 98	 51	
 39	160	 95	180	 66	122	108	 90	 47	 82	
 32	215	 73	113	248	172	 31	205	 77	224	
 26	 32	231	153	 65	 68	 92	 33	 65	191	
 84	104	 95	179	 28	161	 46	137	251	 93	
219	 27	 52	 36	140	 44	209	171	249	 30	
140	 20	 62	115	173	127	183	 10	160	249	
201	245	 97	 40	168	126	201	214	  7	196	
 51	226	223	103	  7	108	147	216	 23	141	
246	163	161	 53	 23	 78	180	206	 88	 85	
199	 33	 74	 41	 73	242	167	 18	201	174	
214	252	144	182	100	151	 34	247	111	 57	
132	102	221	 37	155	244	116	 79	194	204	
164	138	238	238	179	 55	225	 90	 74	170	
  8	 32	166	152	214	 10	 48	248	  2	159	
 50	134	  5	 15	172	160	  3	 32	240	197	
236	148	 79	218	131	  2	 18	100	 92	 92	
 14	100	124	180	253	 83	191	 45	 75	193	
204	125	 71	210	140	243	114	143	 19	 98	
 85	  0	247	164	218	122	167	236	222	  3	
 72	236	104	197	160	101	 24	 95	146	 99	
 32	 94	225	104	 48	109	 91	163	253	111	
  5	 82	111	252	246	 73	118	157	 54	 84	
161	126	 64	  9	 67	225	110	 91	 64	  0	
191	 97	 94	160	201	143	 13	 36	 50	 10	
147	 55	 92	  2	 52	 83	 76	170	240	130	
255	145	  0	 63	154	 68	 32	  8	159	 97	
  8	 94	194	103	254	139	246	 12	175	 40	
 22	 67	 95	115	 69	147	198	145	 62	182	
 19	 61	 72	 20	124	226	 88	157	235	247	
254	243	 86	192	 90	 84	 75	 80	 96	250	
120	119	 61	216	234	131	107	176	 20	169	
102	 40	230	174	 60	 99	145	148	  0	124	
139	254	111	225	190	202	 54	  9	 26	150	
  3	147	 13	 65	107	247	196	214	167	216	
128	 14	  0	102	188	 60	201	 77	208	201	
201	 92	199	 57	 61	133	  3	115	142	 29	
 10	146	176	 23	211	 27	 15	151	242	182	
111	114	196	112	216	129	172	162	206	125	
107	152	217	 51	209	 22	184	212	138	 71	
241	148	217	162	171	172	189	186	 67	175	
113	178	 33	 53	 34	250	182	207	156	133	
 76	  7	 29	 37	 58	238	 59	243	194	197	
 58	179	 89	 19	 85	  5	191	 19	191	  2	
194	 48	180	228	102	215	222	 28	166	122	
