 52	200	229	182	184	 81	246	182	 40	194	243	182	 45	  0	  0	  0	 96	  1	  0	  0	  0	  0	  0	  0	  5	  0	  0	  0	 24	168	174	  0	  3	  0	  0	  0	218	108	 70	  0	 64	  2	  0	  0	 24	168	174	  0	 24	168	
174	  0	  0	 96	 70	  0	 60	 16	  1	  0	  0	  0	  0	  0	 96	 99	 70	  0	192	 88	246	182	128	 93	246	182	  1	  0	  0	  0	  0	  0	  0	  0	 99	179	244	182	176	 84	246	182	  1	  0	  0	  0	  1	  0	  0	  0	
  0	 49	 52	 50	 72	170	243	182	200	145	243	190	208	108	 70	  0	  0	  0	  0	  0	168	145	243	190	224	149	243	190	  0	  0	  0	  0	  0	112	 71	  0	  0	  0	  0	  0	217	147	232	182	 10	  0	  0	  0	160	145	
  0	190	 15	104	 70	  0	216	108	 70	  0	  0	  0	  0	  0	216	108	 70	  0	 10	  0	  0	  0	232	  3	  0	  0	 50	  0	  0	  0	  0	145	243	190	112	114	105	110	116	 45	 99	111	108	117	109	110	115	 46	116	120	
116	  0	233	182	 96	205	243	182	 10	  0	  0	  0	192	 88	246	182	 24	168	174	  0	 20	  0	  0	  0	225	  0	  0	  0	  4	  0	  0	  0	  0	  0	  0	  0	232	  3	  0	  0	224	149	243	190	151	105	 70	  0	 48	 41	
143	113	221	 92	125	174	174	 38	 19	191	165	135	 74	118	 95	 96	 40	101	  3	 99	243	185	233	173	177	 84	135	148	 13	183	189	156	 40	155	248	165	 73	166	203	 92	102	112	228	176	231	 67	 16	 15	168	 19	
115	155	204	 92	 72	126	176	207	 18	189	135	208	 89	175	107	 81	 85	180	247	 32	 16	 93	145	244	 13	120	 55	 29	135	223	 48	250	123	253	 86	195	123	  6	147	141	195	 26	 93	 28	201	200	109	 30	124	101	
 63	141	194	208	129	208	 72	185	237	207	152	 30	202	 19	 27	 32	215	150	 39	106	 35	234	132	129	  7	 77	 73	116	108	198	217	171	 83	156	123	212	108	195	141	 89	146	 38	119	 92	 57	146	125	 16	 40	164	
122	 76	142	254	205	149	 76	 22	 10	184	220	227	 99	 47	127	222	  4	235	161	145	 69	 51	183	188	144	241	 79	 13	  1	119	177	124	195	 63	122	144	213	198	167	223	126	131	194	225	179	 66	191	183	 45	 96	
 72	114	148	  0	 47	 36	241	126	 49	242	245	226	110	185	 33	233	 73	246	175	240	213	 46	116	152	 15	 39	218	207	222	  7	 47	 38	122	195	 38	169	231	 23	 39	 24	 10	 28	250	120	213	 28	 97	 31	 18	 17	
 15	232	 63	131	128	 78	170	 90	 29	136	 97	 77	175	219	 16	213	132	248	237	171	 16	247	200	 11	111	157	 39	209	188	 57	226	204	 33	 33	 79	161	111	250	251	141	130	 93	218	 49	 56	234	  7	189	226	244	
104	243	235	 48	254	 90	206	 37	 43	138	 94	 13	 86	128	 46	166	 33	158	160	 29	 43	 34	122	  5	 84	178	239	 91	111	210	 79	216	197	 58	  8	195	148	214	232	192	 97	 70	205	183	198	252	 93	232	154	253	
  5	197	 32	127	202	116	 49	185	207	161	139	 30	121	 80	 88	129	 19	236	 88	251	172	185	 66	122	112	  8	118	206	240	 16	203	245	213	235	116	159	 95	166	 88	 46	 71	228	 76	192	 52	164	 65	 72	145	153	
 67	 61	 82	133	183	195	142	 45	145	126	 61	 92	116	 18	 72	232	177	167	142	 10	214	213	238	 34	149	 34	199	215	106	 88	112	174	149	195	 51	 77	134	193	122	 23	 64	184	115	180	202	187	156	124	 99	 43	
134	 57	  0	116	 91	150	150	 34	109	  1	122	221	175	 16	160	226	 93	 38	164	215	 61	228	143	177	152	 90	108	 52	214	207	 95	 92	  8	 96	208	100	246	102	134	 99	103	  1	 64	 22	 17	225	249	110	  7	157	
 69	 69	129	213	246	 25	 47	 98	 77	  5	 50	173	 97	 58	 13	 49	158	  3	151	 37	102	255	 38	166	 21	 55	135	 14	165	143	171	234	212	 44	191	202	 69	238	 44	147	243	 94	 64	 84	153	 77	133	 55	 80	 29	
 92	182	 28	130	 92	 49	185	228	 64	 94	115	235	 73	 71	 24	  8	 17	 93	247	 61	240	234	156	 48	 63	 53	125	196	108	205	225	201	131	253	 75	224	 47	  5	196	111	 99	 55	 90	172	126	114	181	143	208	172	
204	192	150	104	241	213	157	110	154	 10	 60	123	211	191	121	 30	159	168	 35	 99	 23	135	154	113	 51	 24	228	232	167	180	148	116	116	 43	220	101	  0	122	212	154	132	 16	 22	 87	207	143	117	111	 55	153	
210	 78	 32	109	191	 83	133	163	 60	 45	 87	208	161	204	251	125	 49	252	247	  5	150	123	 21	172	210	229	 59	 72	 84	114	225	 38	192	  1	147	128	 84	 25	 35	144	 70	123	 97	231	 71	 92	100	120	 88	 92	
126	239	215	147	155	170	120	215	242	204	 73	211	243	 10	212	134	138	 40	159	173	185	229	 40	 26	204	111	118	 49	232	207	141	102	190	100	249	 89	 14	114	 48	  0	 62	122	211	 49	132	167	184	 14	208	 87	
